	copy
4406817	4
4406814	3
4406818	6
4406819	6
113003	1
4410097	4
326626	6
173135	4
196100	1
1943557	3
177623	1
184349	1
145735	6
180107	1
180450	1
184013	6
1769960	1
318131	4
337161	6
4444277	4
310301	4
158321	3
4483015	4
307638	3
186883	1
4470078	5
186881	6
4424239	5
348065	3
521866	3
346938	4
287700	1
4325533	3
310247	5
292537	4
515552	5
322962	4
732765	5
2927689	1
854151	4
190358	4
174497	4
514974	6
197430	3
190420	5
716984	1
683112	1
301375	4
290974	4
332210	1
362327	4
362450	4
538947	1
363321	1
246717	3
191595	2
210262	4
4467347	6
314095	6
316037	1
4469032	7
3805726	8
3682570	2
196748	1
249776	4
196742	3
367790	1
194526	3
39613	8
4374084	5
175397	3
193191	6
326390	3
296535	5
169515	4
325621	3
194424	6
194425	4
454921	3
820843	8
174629	3
174625	6
1029036	3
182196	3
4434334	4
188856	1
34061	6
344512	4
68841	6
196462	4
192240	4
291445	4
43373	2
289734	1
174840	4
289730	4
295100	4
169364	4
181468	3
189610	3
181466	4
235065	2
304427	4
130763	3
181644	3
163857	7
314304	4
348272	3
1646171	4
817339	5
353124	1
357261	1
266210	5
304641	7
292941	1
2921213	5
17311	4
552448	4
193679	6
174019	6
326476	2
166637	1
293543	1
323115	4
362846	1
335701	1
99566	1
1917420	1
173935	1
586453	4
195035	4
368175	2
658370	4
146086	1
541394	1
187929	6
342213	3
187924	6
341004	4
341007	4
336115	3
2224336	6
45363	3
291147	4
344746	3
291149	5
4472721	4
553150	3
353173	4
847934	2
157772	4
175148	6
179649	4
237138	1
175491	1
175145	1
179133	3
1579962	6
851937	7
851938	3
3678349	4
356180	4
4336939	4
533969	4
568952	3
183340	1
4480359	4
175729	1
326136	3
828333	3
186194	4
337403	4
530437	3
319798	4
2548203	3
4406782	4
2942332	4
290637	4
355630	3
193075	3
186448	3
1586645	3
315978	4
301910	6
47737	2
359984	5
4361768	2
28914	1
2056702	4
195929	6
308760	2
181871	1
3767933	1
177421	1
177423	4
4012190	5
355187	4
178770	3
178773	3
843808	4
4402537	2
4372625	1
196167	3
193448	3
189260	1
92721	3
461487	4
624542	3
180473	4
580629	5
181254	1
4437515	3
333189	4
331975	3
333096	1
158309	3
313823	6
4474951	5
190864	3
4456606	2
308983	3
1747203	4
289569	3
3409363	1
191355	3
294254	5
293970	3
196832	1
106335	6
888914	4
350467	4
4201482	1
534926	1
113069	3
125624	1
235212	4
315391	4
175559	1
1105343	4
547714	2
175550	6
4409545	3
113397	3
194095	6
3154070	5
4403259	3
340547	6
4363537	3
301765	1
216710	2
278758	4
357111	1
185555	3
198478	1
363305	4
176604	1
195157	5
269327	1
365222	3
3141342	3
4425280	2
295343	10
295344	4
191923	1
4389066	8
4329776	6
1010876	4
178183	4
174605	3
290607	3
229228	4
184114	6
187126	3
187123	4
187121	4
331113	4
331116	3
4380976	5
296805	5
234488	5
354971	6
197179	4
4467447	5
398138	4
91359	6
174862	1
337619	4
3180933	5
291017	4
189674	3
183662	5
189679	1
303184	3
192438	6
372622	6
183932	3
192437	4
314853	8
151870	3
296113	4
195714	1
177986	1
2439770	6
301294	2
195436	4
509788	1
292962	4
176690	1
193654	1
323135	2
193657	3
189091	4
4449236	4
189092	4
360508	3
205781	5
15700	2
295978	4
362793	4
4396250	2
335910	6
2506486	4
4472399	1
661266	1
349036	3
592649	4
345473	1
182321	4
176297	1
187945	1
184940	4
17598	4
3931537	4
327327	3
199710	6
302746	1
294754	3
190679	6
190676	4
332185	3
351880	1
4325261	4
295590	5
573969	1
4442130	4
4322275	4
583069	4
3325758	5
4244333	4
183328	3
264496	3
316758	4
544480	5
311521	1
355615	4
148279	1
4310221	3
193015	4
315958	1
4397579	6
217109	4
545312	4
195947	1
4416763	4
503315	7
4323059	4
529905	1
328915	3
177403	1
206233	6
749837	4
159026	4
178799	5
174473	1
259357	3
189248	3
189793	4
196140	1
307180	2
1820513	4
4479612	2
180414	1
214450	4
313800	4
181233	1
368486	3
215855	6
553611	3
262095	3
190844	3
634449	1
4472091	1
348026	8
4307265	6
2820255	4
4414261	7
184770	3
4346374	5
192735	6
287744	8
292575	2
4358723	5
4344207	4
196854	4
186955	1
130048	4
582123	4
346793	5
1646259	1
99242	4
185428	3
314058	4
185420	5
329662	1
4460847	1
173876	4
329668	3
323903	4
310979	3
323906	2
179562	6
314586	5
509433	4
314582	4
561171	1
325768	3
4329572	4
4329571	5
195177	4
168289	2
1904497	2
584978	1
176332	1
583656	5
176334	1
295361	1
360985	1
743082	10
1914811	1
113919	3
331281	4
537290	7
887025	4
183093	3
306778	4
811453	4
184174	5
40639	3
24271	6
