	copy
4295444	4
4429981	4
718358	2
194340	3
563086	1
195358	3
1986324	4
195350	3
4328606	2
311423	1
274569	1
805699	2
301655	3
691423	7
385807	2
187429	3
4438166	4
179435	4
569017	4
298670	4
1130824	5
334148	1
663500	5
4350035	1
2388617	5
845396	2
287826	4
158950	2
149437	3
4300206	5
318569	3
129692	1
337762	1
318563	1
302300	4
526665	4
313143	2
13811	5
207994	1
197225	1
300658	5
337495	4
103730	6
1126577	5
840376	5
185113	4
145236	4
1106384	1
511378	5
4421070	5
174439	4
301012	3
580907	5
4307094	5
183845	3
4307092	4
4307093	5
308249	6
177301	6
194110	6
191476	1
328277	3
325558	4
199190	5
198826	5
198824	1
195508	5
195509	1
182463	4
193763	6
366143	4
182469	1
326569	4
578908	4
1972262	4
3531225	7
297577	4
328098	3
235978	4
34789	4
898207	4
346639	3
820764	5
271214	5
4183249	1
254600	4
182073	3
514299	4
302090	1
299382	4
157516	1
158722	4
199335	1
4447072	5
199336	3
4457872	5
192419	3
327218	3
317135	4
4153054	4
415427	3
578016	5
1131759	2
190124	4
513021	3
188625	6
4448211	3
584107	4
584109	4
4305241	2
300829	4
316081	5
324894	4
183210	1
303326	8
303320	4
331099	6
182920	6
337550	1
582884	4
306306	6
838685	4
303224	1
4341056	4
355728	3
318959	4
318957	3
191999	1
520774	4
178117	1
191994	3
4324467	4
4477861	5
193221	1
296099	4
308498	4
268841	1
177828	1
194925	3
194924	3
360660	1
4330972	3
110625	3
531928	4
228232	4
366623	6
3262505	4
177792	3
191052	1
4375688	3
193592	1
4306262	2
182674	6
3082155	4
3903651	4
342844	3
187248	4
130864	4
180563	4
1928156	1
305545	4
303919	4
182588	1
181165	1
305016	6
3604981	1
184534	4
4357713	4
4357714	3
287544	5
555547	4
3166216	4
515243	2
321517	2
730906	3
514045	3
315475	3
304491	5
3244896	5
190529	3
1945397	3
297385	4
521996	4
293600	1
62513	4
186352	5
186351	3
330296	3
186358	5
1646183	2
345536	1
306091	4
791348	3
198127	1
2035344	1
194322	4
297963	4
194324	1
198128	1
176469	6
269141	3
523844	4
173945	1
552380	2
179186	5
179637	1
866280	3
4132520	1
290005	4
295527	4
3472078	5
288318	4
275984	1
583107	4
176201	6
176204	4
179989	1
4381553	5
339180	1
4390211	5
335577	1
298651	3
368490	4
346370	3
20799	3
346374	4
189960	5
546557	5
356357	5
178859	1
344288	4
275237	5
344284	4
178584	2
518820	4
178852	4
149335	5
359809	4
356138	1
353459	4
1108595	4
197207	1
322004	3
188183	4
327176	4
577294	5
361702	1
272171	3
544419	5
143423	4
245324	1
110016	4
1121926	3
73471	3
180179	6
113654	4
188764	6
803010	2
369763	3
351357	4
2137906	1
189588	1
177493	3
213566	6
241843	4
760967	4
230421	2
574720	2
340113	3
370086	3
193528	5
323200	3
4364747	4
559659	4
198945	1
198947	4
279534	5
177677	2
177679	3
4404731	5
510750	4
328523	3
366161	1
578960	1
293473	4
295861	2
259051	3
3827235	5
333114	3
158378	4
2529160	3
113542	3
4346677	5
4346675	6
367142	1
176070	1
176077	2
305207	4
302525	4
4324245	4
334935	4
1112614	5
349343	1
349431	1
317734	4
152612	4
168071	6
622288	8
182054	6
329693	4
182052	5
190490	4
222773	3
4463709	6
199318	1
4328189	7
4349946	3
295737	3
4448052	4
766768	6
370225	3
352840	4
294022	1
232030	6
360861	1
175520	3
188973	3
1115481	10
300809	4
4439603	4
186606	4
4435186	4
4439606	7
216010	8
1113256	3
157936	4
179847	1
179841	2
296562	5
193148	3
4381054	4
841907	3
360392	1
687940	6
192893	4
174695	1
178462	1
341885	4
193208	1
177800	1
4421199	7
552035	4
545139	1
4373156	1
4381635	4
334336	3
308734	4
288690	10
576400	4
366391	4
184477	3
291054	3
187267	4
192231	4
317892	2
13994	3
3275562	4
317899	1
276044	5
3785400	5
344133	4
4368216	6
842596	3
266935	3
842594	3
292243	3
292242	4
177111	6
3164696	1
293594	4
332962	2
558599	4
145009	4
325236	3
300588	8
181140	3
305561	6
289183	1
4390755	2
246937	6
246930	3
309433	6
198285	4
4078476	4
146672	1
809658	3
288362	6
4144206	3
42492	4
4144205	4
290241	2
349884	2
349882	4
146586	4
4388316	4
4371786	5
4348151	6
1856435	1
329597	1
351975	1
173965	1
568016	1
414949	2
179615	1
2545820	1
351292	5
187468	1
571178	3
338950	3
211935	1
289867	4
187720	2
290468	1
317073	1
4355598	3
291272	5
299179	4
4469164	2
726712	6
347043	4
184285	3
782042	2
553245	2
528596	4
24546	1
564320	5
356481	3
685156	5
524842	4
229533	2
175751	4
524848	3
361727	3
1044419	3
178708	3
148987	1
300618	4
300613	4
207487	6
547223	1
355685	4
4301511	4
225636	3
213762	4
1094991	4
302960	4
35260	4
180155	4
110563	5
110562	1
338301	3
3874253	4
188706	6
188707	6
369602	1
343811	3
181826	3
181827	4
194686	4
177478	3
4317896	4
198962	3
262060	4
359175	6
196139	3
196136	1
196134	4
196135	1
4432433	3
177618	1
292057	6
4396723	3
346804	2
3338600	2
3232988	2
4440251	3
827979	4
152450	2
3046870	2
313741	3
333216	3
305224	1
3124103	1
554346	11
312835	6
454363	1
199156	1
4365141	4
198689	3
190301	3
197460	1
772972	4
190309	5
317714	2
294224	1
186896	1
199487	1
186255	1
339948	1
335408	5
290900	1
199374	4
190162	1
536910	4
964067	4
565570	2
190169	4
4398028	5
175508	1
175509	1
3734841	4
332163	6
251456	2
4314724	3
663226	5
194254	4
316598	6
293843	4
186623	4
264967	5
343038	3
194512	1
194513	1
301733	3
186554	1
768553	7
195105	1
2530636	5
198420	1
351163	1
365297	4
797229	7
179866	1
179864	6
4449851	6
4376230	6
301880	1
194471	6
216290	3
4374853	4
532922	4
174361	4
174360	1
338156	3
541354	4
107044	3
136127	1
1503693	4
370075	8
370077	1
1740161	1
189624	1
189150	1
4290144	6
189152	6
184725	3
1007750	7
184497	2
2058521	5
4475758	5
192210	3
4402645	2
207833	2
314996	3
158297	1
358944	2
327730	1
110192	4
344154	5
174818	6
579952	5
292260	6
258202	3
16036	2
177134	4
192684	5
190365	4
594265	4
181611	3
234421	1
309419	4
349065	5
185622	4
304639	3
36378	4
3768338	1
576285	2
4362337	3
875735	3
194646	4
578533	6
193623	3
293025	5
166848	1
199745	1
568077	3
2829179	5
4352493	3
352852	1
295070	4
186272	5
295074	3
187917	3
187447	1
196035	4
84709	6
346003	2
3794053	1
187702	1
317502	6
4011307	2
353149	1
313216	4
322433	4
157748	5
4336423	4
175193	3
3943182	5
846464	2
3943186	1
310886	4
316452	1
264225	3
4322752	3
192912	3
4322751	4
4452633	4
291315	5
1136710	5
289841	4
179499	6
279048	2
3318103	1
232828	2
178725	6
114221	3
340876	3
190961	1
1029949	6
147702	4
190188	3
4465072	4
197107	6
186478	4
318503	3
339494	4
3910247	5
359376	2
1106362	4
4479392	4
180133	5
4479397	5
180136	4
4369434	3
593868	2
4278525	5
319275	4
105976	4
296330	4
343831	3
921110	6
1105552	1
206513	4
298788	3
560873	4
359158	1
523025	4
494971	3
103151	3
198980	1
198983	1
177637	1
4454586	4
975306	1
368681	4
292521	3
247639	4
3569942	5
181269	6
142935	2
4310675	4
259097	3
189459	6
4296764	4
2590430	3
186891	1
899059	4
305247	3
3424669	1
261240	4
4358599	3
4414725	1
195294	6
2283862	3
3409355	3
197402	1
196802	1
322604	4
760544	5
315684	3
320553	6
332202	4
839964	4
235262	3
1117593	3
708680	1
364459	1
175560	4
45296	1
328383	3
347529	4
360825	6
188938	4
345037	4
188931	3
188930	1
542934	3
316029	4
512682	1
270984	3
4422456	5
274400	3
194532	3
194534	4
301715	4
195120	3
381979	3
195123	5
198404	3
528725	4
317199	3
109413	6
157970	6
157972	6
15129	4
311692	1
194457	1
191975	6
325650	6
295339	1
191978	1
288521	4
367814	2
367813	1
182184	4
182188	4
183585	1
4133460	3
3147425	4
527941	4
291784	1
291786	6
338177	1
180721	6
3857426	1
1136492	4
182980	1
4311647	2
3878210	2
1059977	6
278098	1
342827	8
2965639	3
4317170	2
180585	4
4344883	10
208802	4
361556	4
192111	5
174831	4
197988	4
148067	3
589215	1
4256470	5
308386	4
3868447	1
2992312	1
181452	1
3014082	1
177150	5
177153	4
332929	3
130773	1
431368	3
301156	4
3633129	1
4327415	5
295815	2
195721	4
369416	4
185745	1
195728	3
296837	2
306728	2
181675	1
4473509	3
4093791	8
191779	1
4416015	3
331784	3
4471251	6
195465	1
657491	2
166869	2
4405146	4
389371	2
193606	1
105173	10
4331760	3
320121	4
297278	4
357312	3
191113	1
362853	6
362854	2
3562626	6
772543	3
176157	1
173927	4
173920	4
176401	3
587510	2
338994	3
338992	4
997267	5
923098	4
4426367	2
184910	1
4425663	4
317522	5
190649	6
164259	3
508968	1
4090254	1
175175	1
3450453	1
178839	8
3450454	1
178296	5
4452613	1
688923	5
4336943	3
4336940	4
2232355	1
306124	5
524884	3
3384047	4
535955	4
229069	3
591399	1
585914	5
175717	3
176757	3
188127	3
4397092	1
4341119	6
552235	4
374503	3
183137	1
186452	3
161762	1
306261	1
218710	4
347082	2
417981	8
577710	1
359314	4
185190	1
181862	4
352347	6
355424	3
1147868	6
4473883	5
174443	3
193452	1
189292	1
189296	1
721569	4
180446	1
187321	1
180442	1
180119	1
338438	6
158310	4
2066542	4
368950	1
1107439	6
302545	1
305261	4
3060611	3
4476936	6
358594	2
3300804	3
349458	6
4463108	6
524575	1
2160415	3
328544	4
294262	4
182989	1
197426	1
322625	4
197499	4
64192	10
606927	2
327298	2
3265161	1
332266	4
341730	3
327292	4
300374	4
2132002	1
300378	4
4391009	4
2365945	3
308860	3
1110135	4
4458576	6
194082	4
194089	4
193865	3
1105376	4
317205	1
198646	1
275845	4
321440	4
204352	1
295683	3
805066	1
22352	5
512114	2
194559	3
3278416	3
194557	3
495007	7
198468	4
195149	6
195143	2
365256	1
179350	1
179358	4
298557	1
194430	1
191913	1
191919	3
295350	4
4020502	5
746661	2
174638	3
174142	2
174147	1
341823	5
4480176	4
2730676	4
178994	1
344525	5
178991	1
326749	3
40649	1
617806	5
1817731	4
804621	3
208790	6
340995	4
4420570	2
273657	6
318332	4
192258	4
354908	2
4372003	5
322367	4
322361	5
324901	3
4344860	1
174850	6
174853	2
577512	4
292228	1
292222	10
148003	6
303191	3
4354477	6
594119	4
350502	4
180307	3
185765	3
359509	4
266198	2
1860112	1
296103	4
1860111	1
581463	4
505670	7
791522	4
25534	1
2386814	4
313524	4
4379411	5
4335781	3
668257	4
195449	1
514512	4
4449244	7
189085	3
189083	4
333050	4
177172	6
177175	1
17309	5
193667	4
193666	1
510233	3
189282	4
179414	3
1624383	6
3544699	5
176173	3
661270	3
187489	4
21306	2
187952	1
4470870	5
147969	1
3801267	5
192536	1
315529	4
350865	6
317012	6
294747	5
14157	8
882921	4
551955	6
4447432	4
175485	5
1016598	4
176828	1
187780	3
324733	3
2358923	4
183339	1
306499	1
4480189	5
361928	4
584375	3
188454	6
148925	1
361927	3
296487	3
316760	4
85903	4
345801	3
169428	6
193066	2
213870	5
193061	1
137353	3
174288	3
189920	5
195937	1
858896	4
359993	6
1579256	4
462585	1
311080	1
4316924	3
328905	4
355197	3
355196	1
176673	3
110723	1
178760	2
178767	1
180684	2
185312	6
2339949	1
229919	4
193477	4
189271	1
4436552	4
3408597	4
180468	4
354574	3
180462	3
714766	4
180795	3
181221	3
181226	1
331902	3
340960	6
197393	2
250784	4
261572	8
184760	6
114621	3
522582	5
199137	3
162335	4
4346368	5
322999	3
4338990	4
369843	4
292562	3
2190939	2
294246	5
196844	6
215266	3
4315788	5
332241	6
186233	5
4315783	3
4315782	3
4315787	5
215269	6
254376	1
819999	6
318900	1
4302718	5
4304717	3
352529	1
850066	3
1726408	5
185411	1
4455767	4
321469	3
3973322	4
592616	3
313423	3
196713	3
196711	1
170185	5
695612	2
3443092	4
310902	4
4217963	1
347783	1
495067	3
194572	6
841635	4
163243	1
298451	4
198449	5
4395075	5
10085	1
176346	1
176617	4
297496	4
360311	1
360315	4
175836	3
4314125	5
174614	1
174613	3
174611	4
113909	3
368338	2
194416	1
194415	1
845291	6
583398	1
4469007	3
346253	3
1835779	1
355154	1
4368600	1
315880	1
168439	3
363997	3
197003	3
4420417	3
342575	2
296872	3
324696	3
157424	5
353737	1
1696853	4
350273	4
350277	5
216989	3
317818	1
291475	6
4326219	3
208843	4
4298529	3
38278	3
530854	4
145883	4
180090	4
180099	6
370361	1
209845	2
361266	6
195892	4
4301298	5
189647	1
308696	4
360268	2
372146	4
183925	1
300501	2
1102370	4
269937	4
1751298	1
4375887	4
322835	6
191734	1
2877094	3
215670	4
354032	3
1804905	6
3530697	3
195429	1
297182	1
340783	6
366068	4
293511	4
4375080	6
4324040	4
336559	5
153647	3
332778	4
2549971	1
227565	2
297982	4
539328	2
579244	4
194383	4
362765	1
176113	3
176115	4
4476561	5
362108	1
4302904	5
263252	4
182331	1
190069	1
46910	5
315506	5
3825935	5
138179	3
1742070	3
192515	1
4414044	1
198053	6
291111	3
526875	6
313274	4
190605	1
4428676	3
54730	3
355817	1
332718	4
572843	6
306160	5
300694	6
242298	2
336836	4
584396	2
336830	1
621166	5
4457064	3
179785	3
569581	3
316747	1
316740	4
301921	7
3090117	5
196526	1
4442127	3
786081	4
692756	3
365574	1
3699358	1
288004	2
174403	4
180661	4
114821	5
1611482	1
593686	3
336761	1
177697	2
189782	1
228081	2
184314	3
180401	1
188789	4
358007	4
358008	4
588471	2
4483045	3
361679	4
197807	2
177037	1
177032	3
324112	3
177031	3
277120	3
177039	4
192720	3
337013	4
235424	2
287755	4
181756	1
104439	4
181754	4
3369303	8
581814	6
4335376	2
1607319	1
536535	2
586093	5
186963	4
186968	6
186969	6
560981	1
662917	2
301325	4
148352	5
1068836	1
344906	4
727945	6
4460853	3
772398	1
514257	4
329678	3
4460509	3
173863	6
518613	1
290455	3
179576	1
196731	4
179573	1
196733	3
194599	1
194597	4
194591	1
167910	1
187569	6
195186	1
804995	3
363358	4
1112762	4
4395096	5
333380	4
355975	6
333387	4
179319	1
4390319	5
4448436	4
360995	3
4330423	4
174672	1
174675	6
344654	10
329096	6
208972	6
341221	4
316515	6
313593	1
317035	4
157193	4
334395	4
2137077	3
305924	4
187178	5
187179	6
179796	1
178957	4
521795	7
1628708	1
521792	4
197022	6
157448	5
4435655	1
157445	4
525474	1
350256	4
114348	4
1763286	4
291494	4
4459708	3
3963289	5
339712	4
30067	2
287589	1
174892	1
188648	1
188315	4
188646	4
188316	4
185232	1
308322	4
4341679	5
343934	6
181432	5
181927	1
183698	1
318373	5
130289	1
3851582	5
180341	1
3507351	5
196296	4
348227	1
523140	1
564989	5
194832	3
177207	2
4401374	4
4401375	5
292910	1
191718	3
191241	4
354054	4
288839	3
195404	1
336539	2
176269	6
4440335	4
191487	5
3221787	1
305329	1
194286	5
564941	4
113581	1
358639	6
332588	5
199070	6
4456027	1
3424188	6
158423	4
329798	4
335480	1
294169	2
305141	2
22928	10
305146	5
349680	4
1620998	8
400739	1
773251	5
4451906	3
199215	3
190620	1
4070491	2
4070490	5
627429	4
1844553	4
157298	5
508984	2
185593	2
185594	1
185597	5
176862	3
176865	3
495451	3
4473129	6
347358	3
301498	1
824876	3
4429301	1
351067	1
351063	4
296442	4
272425	4
4428924	5
194380	1
182864	1
316728	3
355959	4
191874	1
191872	3
537548	3
851961	4
178238	6
174792	1
4452107	1
178742	4
3359884	2
847427	4
180640	3
184083	1
2223978	6
307238	4
194626	4
330469	6
3905573	3
214682	5
189235	4
214684	4
336708	3
273776	1
4393208	7
184339	4
629361	2
192370	6
180421	5
4479317	2
4446732	2
319541	4
313854	1
567960	5
174930	4
258140	3
330285	4
4453762	4
290293	3
192741	4
192749	5
289538	4
185068	3
370809	1
3524537	4
4318671	5
216550	3
1059655	5
1129461	6
970805	1
332284	3
1129069	2
345211	3
509070	4
193567	4
205613	3
1803030	3
270451	3
199686	2
349963	3
3797933	3
134517	4
4441855	4
510607	5
297378	10
356733	5
198626	1
335884	4
190453	6
514272	6
199534	3
295622	4
357168	1
198117	1
367092	1
198489	3
176300	6
336281	4
2985051	1
187504	3
4094259	4
535399	4
2415144	5
113417	4
331253	1
4389033	5
179557	1
48084	2
179551	1
178682	3
315846	5
356564	4
175650	3
339087	4
567427	4
178064	5
171559	5
327969	3
299620	1
4326870	3
330076	3
345986	3
365492	1
365496	6
332500	1
758482	4
258550	5
188333	1
302880	5
533133	4
319153	3
15076	4
196314	4
196315	4
311704	1
1950496	5
352022	3
16340	1
1036749	4
357765	6
296165	3
298937	10
228432	3
194816	1
314914	6
4359056	5
288810	3
579750	3
297143	2
297414	4
326486	4
326482	4
366716	3
311370	4
102424	2
4366867	1
4339145	2
4339144	4
4313430	1
31249	1
358343	4
334619	4
328466	4
791014	5
199054	1
3117556	4
348609	4
311950	6
184996	4
324322	3
184990	3
158404	2
1712722	1
310028	2
320430	1
4476780	3
646411	3
510295	6
197698	2
197696	6
237631	3
3746307	4
2658058	2
185861	3
185864	1
4428714	2
288120	1
274744	1
572889	7
194258	4
347801	4
198011	3
4369878	6
195029	3
195028	1
296420	2
4366523	6
76393	4
3387754	1
561312	3
355938	6
29566	5
849440	2
108482	4
176518	6
529979	3
585881	6
296394	4
325443	4
763985	4
194648	1
365536	4
541415	1
363477	4
180999	1
228330	2
189812	3
319708	4
319709	3
188432	4
3747551	4
2256425	4
183715	4
330252	3
1108356	2
3186388	2
291510	5
4410807	5
291512	6
291518	4
25695	4
354517	4
913091	1
28218	1
208949	6
4401580	5
2237211	5
158393	5
312707	3
174911	1
493391	3
307680	3
337580	3
1008348	5
4334844	3
4433823	5
324153	1
2487345	3
192767	1
287790	4
641783	4
300487	10
825063	2
369827	4
337057	4
1106290	2
593422	3
181719	5
1625448	10
253721	4
4341886	2
311776	1
186921	6
339988	4
4430843	4
318970	1
292892	3
4008675	5
2686384	1
4455257	7
783719	3
4439398	7
353982	4
261590	2
182133	1
344947	1
194008	6
191038	1
194001	3
766113	4
298120	5
564334	4
199555	1
320354	4
4329215	5
333348	4
302632	4
333341	4
4303423	2
41229	4
349238	4
113430	4
1145098	2
4425214	4
49406	4
317399	3
4466006	3
341263	5
179536	4
193968	4
193969	6
648124	3
291722	2
3579831	4
4464533	1
313086	1
151623	5
197069	3
230252	6
313089	4
317646	1
4390863	4
237468	1
175633	4
175630	5
175323	4
175635	1
178001	6
364034	4
254846	4
178678	1
4301141	3
311499	3
343709	2
4360055	5
347639	1
4296771	4
4310395	4
582997	3
527413	6
181961	2
4416614	5
181969	1
1144764	2
4378081	5
325586	1
325850	1
359581	3
195788	1
299302	1
193372	1
296187	3
1010113	7
4474081	3
360730	4
338553	1
833458	4
194870	1
100497	7
104394	4
358185	1
189007	1
182723	4
227819	3
4393568	4
592901	2
4393565	3
341460	6
331863	2
354890	4
302407	4
368236	4
593369	1
158563	3
215697	3
2208	4
457044	10
165935	4
4396426	1
297160	1
354095	1
807548	3
312515	4
329205	4
305187	4
4456065	1
4447605	4
304580	4
290808	3
1121111	5
300297	3
547463	2
258375	3
306980	1
569872	6
309720	6
301534	4
1105211	1
182653	1
345172	1
198786	4
826746	4
304973	4
295296	4
186122	4
836776	4
1135084	5
207390	1
194270	2
799034	4
195004	3
179273	3
351020	10
351027	4
4363066	6
191833	1
1105668	3
301984	3
180813	1
174755	2
174752	3
50779	2
171322	4
3308041	4
289918	4
4435400	1
194667	6
194660	1
545232	6
3609803	6
180975	4
180974	1
344422	3
180606	5
4477479	1
189838	1
356245	4
212164	6
336890	3
332831	5
310608	1
187386	4
187385	1
178491	1
310601	4
350373	2
192339	4
187389	6
187388	6
291571	4
342703	2
642922	1
355269	4
953855	3
177581	1
527485	2
577380	2
312766	4
174974	6
185392	1
197314	3
197867	1
185394	1
197864	3
189760	4
184553	6
304779	2
185021	4
304777	4
230479	4
815828	4
195646	1
644244	4
4364564	4
1895780	1
2210028	1
309534	4
251702	1
276810	3
2656868	5
178497	5
581782	7
4383953	4
686711	4
323537	3
99891	1
195252	3
297629	5
187891	1
2170530	1
187894	1
358798	1
389529	2
334797	4
4332878	1
302617	6
4352318	10
363442	4
274115	3
349257	6
851733	5
125270	5
198192	1
198190	5
137056	10
182142	2
556508	1
1105016	5
341284	1
320376	1
199575	1
179512	4
193946	1
198221	6
562410	4
71165	3
178640	4
178642	1
369354	2
197080	6
349876	4
175612	1
575261	4
4380450	4
4448492	4
733799	3
238205	12
1740283	1
295085	1
343727	3
591439	8
252773	4
4045882	3
132041	3
4045886	4
185251	1
109894	4
316132	5
511234	3
1855954	4
525142	1
29625	2
2987636	5
2987631	7
170640	5
174749	3
2346355	6
299882	4
4386317	2
234443	3
111771	4
4364176	3
179826	3
564961	3
528071	4
177910	3
338570	3
298973	3
145801	3
366752	6
187882	3
166689	6
189530	1
535901	3
4306356	3
663969	5
350141	1
322114	1
201364	3
1722623	5
181059	4
423264	5
185396	6
302426	4
1838560	2
334656	6
4383090	4
322112	1
158581	5
312935	10
289452	1
192048	4
192046	3
329820	3
191222	4
4202174	4
238803	1
4358322	4
196905	5
348642	1
293330	1
190577	1
315589	4
294363	4
192592	3
1058952	4
292688	4
1775194	3
581048	1
544859	5
2176015	8
4303855	2
4303856	5
4303850	2
4303851	1
289064	1
185824	4
314189	3
191483	5
185822	3
510780	1
4363269	1
4472050	3
4352875	4
173245	4
19611	4
193887	1
194219	6
509838	4
357028	4
298379	3
560479	4
298374	4
194215	6
357020	1
198503	1
321706	3
290686	1
621472	1
326936	1
360238	3
175281	6
175280	1
216599	3
368219	4
531596	5
178253	5
543509	4
182089	4
176555	4
4020046	3
289938	3
289933	6
183287	1
574038	3
174487	3
548621	1
174489	1
3550973	6
4381422	5
302160	4
1141218	2
3940412	3
189855	1
184391	1
184394	3
192865	5
192868	1
28702	3
553352	6
208901	3
174950	1
921020	2
322137	1
201772	3
312743	1
361365	3
521275	1
181539	4
339566	4
214997	4
318470	3
189708	4
2066056	6
304757	3
180220	3
47100	4
314963	3
4445226	5
563572	1
3327894	5
352215	4
4450025	4
355533	4
308426	1
4289859	8
4466220	2
43950	4
544996	4
3946926	4
21881	6
193509	1
177702	3
177704	4
297314	5
297643	3
297641	1
813479	3
348897	4
351894	5
4254528	1
351898	4
195271	1
210292	4
578857	3
166099	4
182577	4
336325	4
307536	6
22371	1
302932	4
368025	4
336228	3
184830	3
586271	1
184833	1
261336	3
365891	3
192676	3
192672	1
4463237	3
4194837	3
4476604	1
269386	2
271563	4
851715	3
4004998	1
197539	2
4004991	6
513646	5
197537	5
316911	4
182163	3
369994	4
329817	1
522927	4
4442338	2
176947	4
849346	4
565357	3
311426	2
353791	1
94758	1
4370229	4
179390	3
186081	4
306066	4
2730944	6
146554	1
4425255	2
319680	3
319687	3
528652	4
570052	4
184000	4
290548	1
819328	6
339791	3
347189	3
693613	4
4452538	7
4468805	5
195871	3
195876	3
72198	5
196370	1
308631	3
288417	5
174016	3
174010	3
4375860	1
196219	5
177933	3
435264	3
196210	4
193336	2
196215	1
50530	3
298954	6
334203	1
335071	2
580087	1
180037	3
182762	3
358143	5
3609545	6
341930	1
4329132	1
564188	1
4478815	6
350121	4
1111522	2
4406925	5
358858	1
173773	3
312665	2
545473	3
843553	6
581933	4
324386	3
519864	4
186866	5
357471	3
181074	3
194758	6
345354	6
329992	3
828676	7
2774254	3
649732	2
572751	6
198740	1
325384	1
185516	1
458550	4
4443094	4
290371	1
290370	2
860192	3
798164	4
295258	4
183201	4
191601	1
194236	4
564290	7
191608	1
335670	6
1599042	4
198521	1
436032	1
335675	1
297872	1
363035	5
532203	1
270094	5
578649	4
179729	1
4340358	5
102022	2
196581	1
335550	4
174712	1
520657	4
514996	4
342356	4
180857	1
341322	4
255367	4
289958	4
347243	5
347244	1
334074	4
184009	4
4357223	1
312311	3
187617	4
2932151	1
197760	1
197761	4
322562	3
189877	1
640521	5
158302	2
189879	3
2438948	3
569522	3
350337	3
291202	3
189403	1
319896	4
359950	1
359954	5
334459	3
332660	2
4354041	5
232975	4
4432463	1
319097	1
4326084	4
197352	1
197354	1
4326080	4
195704	3
185354	1
340219	4
575768	4
4437814	5
186521	3
183006	1
352182	5
4318125	1
2309799	5
842786	4
369555	1
1736067	5
308157	3
177893	6
2978122	4
194951	3
355510	6
197970	4
198198	4
288950	5
300394	4
1788776	4
196004	3
173654	7
4393396	5
150477	4
4331223	1
348875	3
850606	2
158264	3
4357811	5
182517	1
186981	5
153075	4
4295035	2
1109251	6
4472130	3
336205	6
176381	1
341139	4
646800	2
1836848	1
134265	4
350698	3
192654	1
197517	5
14030	1
190233	4
322711	4
322719	4
4334770	5
186321	3
567715	1
264325	3
4337970	5
4482516	4
362539	3
536866	4
176967	3
230232	1
324654	3
2362317	6
4473664	2
2565100	1
320725	4
437137	4
300952	3
157791	4
112720	3
332584	3
1098434	7
87668	1
13995	1
290529	1
2402366	4
178608	4
321063	3
4419650	6
1944498	5
195855	4
2497335	5
175929	3
1043408	4
196392	4
4309088	3
179911	6
196391	4
174033	4
194727	6
789275	3
174038	1
4355504	3
330564	1
323106	1
338754	5
287875	4
338757	5
229348	3
184214	3
759061	7
184211	3
461795	4
194899	1
187000	3
310781	2
302809	4
342683	1
4359797	1
1544606	3
182744	4
189067	1
299331	4
811513	8
341953	1
312464	3
299592	1
3841096	4
324015	3
177379	5
110060	3
185164	3
2631113	6
366797	4
366794	4
181899	1
431235	4
314204	4
842193	3
303864	6
2831841	1
581003	3
4427366	4
303739	2
344823	4
258389	4
2368865	4
2341726	1
515590	3
2136916	2
1835985	3
196061	1
193710	3
190534	6
348680	6
197442	3
621651	8
4384058	7
4404459	2
297856	1
4451251	1
510524	2
321290	1
321295	3
2415201	2
346686	4
337966	2
360890	4
195998	4
180874	1
180876	4
174738	4
293990	4
149614	1
2704013	3
342375	6
4303724	2
508788	3
295205	1
331571	3
331575	1
302128	3
291045	2
197708	4
157894	4
333426	3
353615	6
322505	1
172296	1
179744	3
211750	5
3806695	4
357930	3
4326573	5
291266	6
291596	3
3715618	2
533373	6
4484075	3
2127939	1
183245	1
4439690	5
174998	1
4316928	6
289622	2
572130	4
4372382	1
304539	5
185374	3
213671	3
318928	1
183062	4
188077	1
185088	1
188079	6
181792	1
755148	7
360636	3
199256	3
231752	4
4421128	1
177561	3
298858	3
177567	3
515299	4
292814	4
292816	4
16559	4
4409280	4
351501	3
177742	3
175967	4
3540765	10
3907189	4
187835	4
181139	4
182538	6
189309	5
313672	6
334734	2
184561	1
354622	3
4456702	1
205765	3
42395	2
1846390	2
4458634	1
457614	4
4414478	4
43628	3
327031	3
192634	1
553080	4
4348472	1
190705	3
197578	4
790466	8
688800	4
1614788	3
4458758	6
1667433	1
589658	6
589657	1
997439	3
364527	1
2582660	1
346098	4
306021	3
4463892	5
194374	3
194372	4
194373	4
194371	1
317315	3
851824	3
1106861	3
4453060	6
352733	3
2941399	3
290502	3
323826	4
274536	4
274533	2
161423	5
301620	3
291902	1
291906	4
178370	4
288367	1
4212012	5
233052	4
296909	3
175909	2
296900	4
194707	6
328825	4
279107	1
352081	4
178082	6
287813	5
174501	1
178081	6
471180	3
298624	4
4381430	4
189936	8
583266	4
4355075	4
955102	3
229874	2
528692	1
399637	3
318594	2
366147	5
4312974	5
4418787	1
4332202	2
565288	2
318777	5
214031	3
131559	1
214036	8
358104	3
4464173	4
4335302	4
4420408	5
562038	1
234054	3
234724	3
191928	3
177359	3
3195932	5
4289377	4
320906	3
4479989	4
3265556	1
3680006	1
185148	1
329884	2
3713805	1
185141	6
336063	3
332813	4
4328026	2
121873	6
345319	4
309441	4
193484	1
193480	1
1602805	1
240271	4
1035532	3
179677	6
185558	4
191399	4
531038	4
1815717	4
185550	3
191391	4
195556	4
4347159	3
2814830	3
295748	4
739387	1
3225199	1
195081	1
357046	3
149188	2
